timestamp,phase,cpu_percent,mem_mb
1783135978.801236,clone,0.0,4.07
1783135978.8214152,clone,0.0,3.56
1783135978.8417888,clone,0.14,3.56
1783135978.8621047,clone,0.0,3.56
1783135978.8825424,clone,0.67,3.32
1783135978.9027882,clone,0.09,3.31
1783135978.9229932,clone,0.0,3.31
1783135978.9432664,clone,0.17,2.96
1783135978.963478,add,0.0,2.86
1783135978.9837174,commit,0.0,2.86
1783135979.0040686,commit,0.0,2.82
1783135979.0244005,push,0.7,3.28
1783135979.0448687,push,0.0,3.28
1783135979.0651183,push,1.09,3.4
