timestamp,phase,cpu_percent,mem_mb
1783125308.8076363,pull,20.86,47.07
1783125308.8279593,pull,6.11,47.07
1783125308.848325,pull,6.09,47.07
1783125308.8686378,pull,6.42,47.07
1783125308.8889928,pull,5.79,47.07
1783125308.9092672,pull,5.51,46.95
1783125308.9297583,pull,6.36,46.95
1783125308.9500697,pull,6.12,46.95
1783125308.9703748,pull,6.44,46.95
1783125308.9907904,pull,5.33,47.27
1783125309.011169,pull,7.96,47.84
1783125309.032262,pull,2.73,47.68
1783125309.0529137,commit,0.0,47.68
1783125309.0736544,commit,0.0,47.68
1783125309.094239,push,0.14,47.68
1783125309.114613,push,6.23,47.68
1783125309.134891,push,6.14,47.68
1783125309.1555476,push,6.32,47.68
1783125309.1760223,push,6.08,47.68
1783125309.1962883,push,5.25,47.32
1783125309.2167156,push,6.39,47.32
1783125309.2370105,push,6.13,47.32
1783125309.257206,push,6.16,47.32
1783125309.2776022,push,5.93,47.52
1783125309.297984,push,6.1,47.52
1783125309.3183625,push,6.08,47.52
1783125309.338759,push,6.39,47.52
1783125309.3590758,push,6.12,47.52
1783125309.379381,push,4.35,47.25
1783125309.399752,push,5.6,47.15
1783125309.4200702,push,6.12,47.15
1783125309.4403331,push,6.11,47.15
1783125309.460632,push,6.44,47.15
1783125309.4809287,push,3.07,47.0
1783125309.501308,push,5.42,46.95
1783125309.5217392,push,6.37,46.95
1783125309.5420027,push,6.13,46.95
1783125309.562293,push,6.11,46.95
1783125309.5826108,push,4.71,47.48
1783125309.6030185,push,4.62,47.39
1783125309.623492,push,6.39,47.39
1783125309.643757,push,6.13,47.39
1783125309.664093,push,6.11,47.39
1783125309.6844714,push,4.92,47.68
1783125309.704942,push,14.63,51.31
1783125309.7254105,push,14.21,50.94
