timestamp,phase,cpu_percent,mem_mb
1783135992.8105552,clone,0.0,3.76
1783135992.8307471,clone,0.0,3.57
1783135992.8509274,clone,0.14,3.56
1783135992.8711126,clone,0.0,3.56
1783135992.8915079,clone,0.0,3.55
1783135992.911841,clone,1.27,3.25
1783135992.9321356,clone,0.0,3.25
1783135992.9524271,clone,0.15,2.72
1783135992.9726267,add,0.0,2.64
1783135992.992864,commit,0.0,2.64
1783135993.0131996,commit,0.0,2.64
1783135993.03353,push,1.0,3.36
1783135993.0538988,push,0.01,3.07
1783135993.0742638,push,0.0,3.07
