phase,latency_sec,returncode,exact_cpu_time_sec,exact_peak_rss_mb
clone,0.15311169624328613,0,0.01557,19.2578125
add,0.030820608139038086,0,0.003217,19.2578125
commit,0.03139495849609375,0,0.005409,19.2578125
push,0.06565737724304199,0,0.009803,19.2578125
