timestamp,phase,cpu_percent,mem_mb
1783125187.4155033,pull,44.45,47.62
1783125187.4357378,pull,6.16,47.61
1783125187.456229,pull,5.57,47.88
1783125187.4764993,pull,6.16,47.88
1783125187.497178,pull,6.17,47.88
1783125187.517483,pull,7.76,48.68
1783125187.5377882,commit,0.12,48.54
1783125187.5581918,commit,0.0,48.48
1783125187.5785353,push,4.08,48.47
1783125187.5989256,push,6.11,48.47
1783125187.6191866,push,5.51,48.6
1783125187.639449,push,6.45,48.6
1783125187.6596339,push,6.13,48.67
1783125187.679894,push,5.86,48.66
1783125187.7002382,push,6.34,48.66
1783125187.7205176,push,4.32,48.52
1783125187.7407825,push,6.15,48.52
1783125187.7610435,push,5.59,48.48
1783125187.7813928,push,4.24,48.57
1783125187.8016803,push,6.14,48.57
1783125187.821999,push,4.6,48.7
1783125187.8423436,push,5.36,48.65
1783125187.8627264,push,6.11,48.48
1783125187.8829799,push,3.5,48.78
1783125187.903325,push,14.39,52.4
