timestamp,phase,cpu_percent,mem_rss_mb
1783135261.780501,pull,0.0,11.176
1783135261.8085294,pull,0.0,11.176
1783135261.836387,pull,0.0,11.582
1783135261.864464,pull,0.0,11.582
1783135261.892843,pull,0.0,0.0
1783135261.9282336,commit,0.0,14.734
1783135261.956603,commit,105.7,30.875
1783135261.984731,commit,106.6,44.691
1783135262.0123417,commit,72.4,50.262
1783135262.039396,commit,110.9,51.422
1783135262.0664954,commit,110.7,52.949
1783135262.0947862,commit,106.1,54.344
1783135262.1217122,commit,111.4,55.008
1783135262.1492171,commit,109.0,55.801
1783135262.1763906,commit,73.6,57.816
1783135262.202829,commit,113.5,59.047
1783135262.2293534,commit,75.4,59.277
1783135262.255621,commit,114.2,59.785
1783135262.2826178,commit,111.1,60.039
1783135262.3097637,commit,73.7,0.0
1783135262.3431587,push,0.0,11.246
1783135262.370667,push,0.0,11.246
1783135262.3978806,push,0.0,11.723
1783135262.42475,push,0.0,11.723
1783135262.4522843,push,0.0,11.867
1783135262.4799235,push,0.0,11.895
1783135262.507112,push,0.0,11.895
1783135262.5347419,push,0.0,11.895
1783135262.5614812,push,0.0,11.895
1783135262.588915,push,0.0,11.895
1783135262.615925,push,0.0,11.895
1783135262.6434824,push,0.0,11.895
1783135262.670841,push,0.0,11.895
1783135262.6981053,push,0.0,11.895
1783135262.7259715,push,0.0,11.895
1783135262.7530715,push,0.0,11.895
1783135262.780613,push,36.3,11.895
1783135262.8077466,push,0.0,11.895
1783135262.835656,push,0.0,11.895
1783135262.8626182,push,0.0,11.895
1783135262.889928,push,0.0,11.895
1783135262.9169776,push,0.0,11.895
1783135262.944485,push,0.0,11.895
1783135262.9720993,push,0.0,11.895
1783135262.9991198,push,0.0,11.895
1783135263.0265143,push,0.0,11.895
1783135263.0543303,push,0.0,11.895
