phase,latency_sec,returncode,exact_cpu_time_sec,exact_peak_rss_mb
pull,0.24850893020629883,0,0.015217999999999999,20.22265625
commit,0.03993105888366699,0,0.015226,20.22265625
push,0.6575117111206055,0,0.01817,20.22265625
