timestamp,phase,cpu_percent,mem_mb
1783135976.4205089,clone,0.0,4.22
1783135976.440701,clone,0.0,3.79
1783135976.460968,clone,0.2,3.53
1783135976.4812994,clone,0.0,3.53
1783135976.5017111,clone,0.0,3.51
1783135976.522143,clone,1.32,3.77
1783135976.5424635,clone,0.0,3.54
1783135976.5628417,clone,0.16,2.81
1783135976.5830739,add,0.0,2.78
1783135976.6032891,commit,0.0,2.78
1783135976.6235714,commit,0.0,2.78
1783135976.6438675,push,0.66,3.47
1783135976.6641073,push,0.0,3.21
1783135976.6843975,push,0.88,3.65
