timestamp,phase,cpu_percent,mem_mb
1783125201.6647263,pull,0.0,47.23
1783125201.685015,pull,6.13,47.23
1783125201.7053542,pull,6.12,47.23
1783125201.7257104,pull,6.41,47.23
1783125201.746198,pull,6.07,47.14
1783125201.7666626,pull,5.75,46.96
1783125201.7871544,pull,6.07,46.96
1783125201.8076959,pull,6.36,46.96
1783125201.8279676,pull,6.13,46.96
1783125201.8483665,pull,6.4,47.86
1783125201.8688009,commit,3.96,48.03
1783125201.889274,commit,0.0,48.03
1783125201.9097035,push,4.54,47.95
1783125201.9300108,push,6.14,47.95
1783125201.9502594,push,5.64,47.95
1783125201.9706788,push,6.41,47.73
1783125201.9909327,push,6.01,47.62
1783125202.011193,push,6.17,47.62
1783125202.031532,push,6.0,47.74
1783125202.0518658,push,4.54,47.66
1783125202.0721204,push,6.15,47.66
1783125202.0923145,push,3.73,47.51
1783125202.11256,push,6.13,47.51
1783125202.1329226,push,6.24,47.51
1783125202.1531231,push,10.67,51.02
1783125202.1734123,push,7.53,51.02
1783125202.193698,push,5.8,51.18
1783125202.2140183,push,2.2,50.94
1783125202.2344897,push,2.04,51.08
