timestamp,phase,cpu_percent,mem_mb
1783135048.8236032,pull,0.0,51.33
1783135048.8438196,pull,6.15,51.33
1783135048.8639886,pull,5.96,51.44
1783135048.884178,pull,5.76,51.44
1783135048.9043708,pull,6.47,51.21
1783135048.9246612,pull,8.06,52.1
1783135048.9449558,pull,2.89,54.34
1783135048.965355,commit,0.0,54.25
1783135048.985793,commit,0.0,54.16
1783135049.0060759,commit,0.04,54.16
1783135049.0263731,commit,0.0,54.16
1783135049.0467381,commit,0.0,54.16
1783135049.0670836,commit,0.0,54.16
1783135049.087305,commit,0.0,54.16
1783135049.1075482,commit,0.0,54.16
1783135049.1278005,commit,0.0,54.16
1783135049.1480238,commit,0.0,54.16
1783135049.1682503,commit,0.0,54.16
1783135049.1884809,commit,0.0,54.16
1783135049.2087698,commit,0.0,54.16
1783135049.2289896,commit,0.0,54.16
1783135049.2492163,commit,0.0,54.16
1783135049.2694457,commit,0.0,54.16
1783135049.289729,commit,0.0,54.16
1783135049.3099632,commit,0.0,54.16
1783135049.3301842,commit,0.0,54.16
1783135049.3504064,commit,0.0,54.16
1783135049.3711817,commit,0.0,54.16
1783135049.3917768,push,2.97,54.16
1783135049.4120343,push,6.15,54.16
1783135049.4323158,push,5.32,54.07
1783135049.452565,push,6.47,54.07
1783135049.4728057,push,6.8,54.18
1783135049.4930642,push,5.73,54.18
1783135049.5132728,push,6.22,54.18
1783135049.5335004,push,3.93,54.0
1783135049.5537176,push,6.17,54.0
1783135049.573983,push,4.07,54.14
1783135049.5942373,push,5.7,53.89
1783135049.6144683,push,6.54,54.1
1783135049.6346984,push,4.06,53.95
1783135049.6549752,push,6.15,53.95
1783135049.67526,push,4.25,53.82
1783135049.6955264,push,6.46,53.82
1783135049.7158031,push,4.71,54.15
1783135049.736095,push,4.94,54.07
1783135049.7563257,push,6.16,54.07
1783135049.7765632,push,4.0,54.39
1783135049.796891,push,6.13,54.39
1783135049.8171153,push,4.47,54.07
1783135049.8374448,push,6.11,54.37
1783135049.8576872,push,6.03,54.6
1783135049.8779674,push,4.54,54.39
1783135049.898212,push,6.16,54.39
1783135049.918448,push,4.0,54.51
1783135049.9387374,push,6.13,54.51
1783135049.958959,push,5.77,54.5
1783135049.9792955,push,4.48,54.96
1783135049.9995482,push,6.47,54.96
1783135050.0197837,push,4.35,55.31
1783135050.0401256,push,6.12,55.31
1783135050.0603535,push,5.27,55.71
1783135050.0805829,push,2.37,55.98
1783135050.1008947,push,2.88,56.55
1783135050.1211524,push,1.29,56.85
