timestamp,phase,cpu_percent,mem_mb
1783125293.021634,pull,0.0,46.9
1783125293.0419068,pull,6.12,46.9
1783125293.062216,pull,6.12,46.9
1783125293.0825214,pull,6.44,46.9
1783125293.1029277,pull,5.78,47.04
1783125293.1231856,pull,5.51,46.83
1783125293.1436636,pull,6.38,46.83
1783125293.1640007,pull,6.09,46.8
1783125293.1843054,pull,6.1,46.69
1783125293.2046015,pull,5.64,46.59
1783125293.2248874,pull,7.89,47.32
1783125293.245441,pull,3.49,47.33
1783125293.2658627,commit,0.0,47.23
1783125293.286592,commit,0.0,47.23
1783125293.307198,push,0.0,47.2
1783125293.3276296,push,5.47,47.2
1783125293.347961,push,6.11,47.2
1783125293.3683197,push,6.11,47.2
1783125293.388629,push,6.43,47.2
1783125293.4089305,push,5.21,47.09
1783125293.4293764,push,6.38,47.09
1783125293.4497032,push,6.08,46.89
1783125293.470097,push,6.09,46.89
1783125293.4904022,push,5.97,47.15
1783125293.5107708,push,6.01,47.15
1783125293.5311182,push,6.02,47.15
1783125293.551354,push,6.13,47.15
1783125293.5718079,push,6.38,47.15
1783125293.592072,push,4.68,47.47
1783125293.6123753,push,5.4,47.62
1783125293.6328743,push,6.06,47.62
1783125293.6531796,push,6.12,47.62
1783125293.6735308,push,6.42,47.62
1783125293.6938257,push,3.46,47.62
1783125293.714133,push,4.96,47.62
1783125293.7345638,push,6.4,47.62
1783125293.7548573,push,6.11,47.62
1783125293.7752159,push,6.1,47.62
1783125293.7955084,push,4.18,47.77
1783125293.8157935,push,21.13,50.83
1783125293.8363035,push,10.28,50.83
1783125293.856545,push,6.43,50.83
1783125293.876734,push,6.16,50.83
1783125293.896929,push,5.45,51.04
1783125293.9173033,push,2.57,50.89
1783125293.9377117,push,2.49,51.04
