timestamp,phase,cpu_percent,mem_rss_mb
1783125293.025868,pull,0.0,11.176
1783125293.0603716,pull,0.0,11.176
1783125293.0933056,pull,0.0,11.176
1783125293.1285744,pull,0.0,11.535
1783125293.1635365,pull,0.0,11.535
1783125293.1966622,pull,0.0,11.535
1783125293.2347744,pull,0.0,0.0
1783125293.2765312,commit,0.0,0.0
1783125293.3162837,push,0.0,11.094
1783125293.3506482,push,0.0,11.094
1783125293.3832073,push,0.0,11.094
1783125293.4176655,push,0.0,11.418
1783125293.451166,push,0.0,11.418
1783125293.4839883,push,0.0,11.418
1783125293.5193174,push,0.0,11.484
1783125293.5527675,push,0.0,11.484
1783125293.5868077,push,0.0,11.484
1783125293.6222014,push,0.0,11.484
1783125293.6552591,push,0.0,11.484
1783125293.6887991,push,0.0,11.484
1783125293.7242985,push,0.0,11.484
1783125293.7574246,push,0.0,11.484
1783125293.7911463,push,0.0,11.484
1783125293.8284461,push,0.0,11.484
1783125293.8625693,push,0.0,11.484
1783125293.8966007,push,0.0,11.484
1783125293.9342852,push,0.0,11.484
