timestamp,phase,cpu_percent,mem_mb
1783125231.5646462,pull,0.0,48.66
1783125231.5850217,pull,6.09,48.66
1783125231.6053393,pull,6.11,48.66
1783125231.625651,pull,6.43,48.66
1783125231.6460063,pull,5.61,48.88
1783125231.6663413,pull,5.75,48.85
1783125231.686756,pull,6.4,48.85
1783125231.7070503,pull,6.13,48.85
1783125231.72735,pull,6.12,48.85
1783125231.7477195,pull,6.17,49.54
1783125231.7681293,pull,7.52,50.1
1783125231.7891765,pull,0.0,50.1
1783125231.8098366,commit,0.0,49.98
1783125231.830318,commit,0.0,49.98
1783125231.8509827,push,0.53,49.91
1783125231.8715668,push,6.21,49.91
1783125231.8919828,push,6.06,49.91
1783125231.9124095,push,6.39,49.82
1783125231.9328287,push,6.09,49.82
1783125231.9531953,push,5.14,50.07
1783125231.9737456,push,6.36,50.0
1783125231.9940968,push,6.09,49.68
1783125232.0145903,push,6.44,49.68
1783125232.0349545,push,5.45,49.82
1783125232.0553927,push,6.39,49.82
1783125232.0757208,push,6.1,49.82
1783125232.096055,push,6.12,49.82
1783125232.1164553,push,6.37,49.82
1783125232.1368759,push,4.2,49.57
1783125232.1573393,push,5.88,49.57
1783125232.177757,push,6.38,49.57
1783125232.1981337,push,6.08,49.48
1783125232.218589,push,6.37,49.48
1783125232.238955,push,2.87,49.66
1783125232.2593195,push,5.44,49.66
1783125232.2796695,push,6.42,49.66
1783125232.2999997,push,6.12,49.66
1783125232.3203435,push,6.41,49.66
1783125232.3408375,push,3.32,49.73
1783125232.3613412,push,5.17,49.73
1783125232.3817754,push,6.38,49.73
1783125232.4021456,push,6.11,49.73
1783125232.4224403,push,6.44,49.73
1783125232.4429026,push,4.08,49.8
1783125232.463279,push,3.03,49.8
1783125232.4837673,push,16.13,53.2
1783125232.5045226,push,11.74,53.38
1783125232.5251853,push,0.0,53.38
