timestamp,phase,cpu_percent,mem_rss_mb
1783125113.2746966,pull,0.0,11.094
1783125113.3118489,pull,0.0,11.094
1783125113.3462276,pull,0.0,11.094
1783125113.3830333,pull,0.0,11.453
1783125113.4173732,pull,0.0,11.453
1783125113.4520278,pull,0.0,11.453
1783125113.4893298,pull,0.0,0.0
1783125113.5309699,commit,0.0,0.0
1783125113.571005,push,0.0,11.297
1783125113.6079614,push,0.0,11.297
1783125113.6451287,push,0.0,11.297
1783125113.6819742,push,0.0,11.691
1783125113.718504,push,0.0,11.691
1783125113.757253,push,0.0,11.758
1783125113.7919953,push,0.0,11.758
1783125113.831223,push,0.0,11.758
1783125113.8679893,push,0.0,11.758
1783125113.9023273,push,0.0,11.758
1783125113.9359856,push,0.0,11.758
1783125113.9714067,push,0.0,11.758
1783125114.0095522,push,0.0,11.758
1783125114.0470533,push,0.0,11.758
1783125114.0851927,push,0.0,11.758
1783125114.1212454,push,0.0,11.758
1783125114.1546679,push,0.0,11.758
1783125114.1922653,push,0.0,11.758
1783125114.2285032,push,27.6,0.0
