timestamp,phase,cpu_percent,mem_mb
1783135231.5153897,pull,0.0,50.94
1783135231.5355458,pull,6.49,50.94
1783135231.5557306,pull,5.94,51.08
1783135231.5759332,pull,5.34,51.08
1783135231.5961592,pull,6.16,51.08
1783135231.6164336,pull,8.17,53.54
1783135231.636873,pull,3.98,53.04
1783135231.6572385,commit,0.0,52.94
1783135231.677645,commit,0.0,52.84
1783135231.6979241,commit,0.0,52.84
1783135231.7181919,commit,0.0,52.84
1783135231.7385461,commit,0.0,52.84
1783135231.7588024,commit,0.0,52.84
1783135231.7790265,commit,0.0,52.84
1783135231.79926,commit,0.0,52.84
1783135231.8195896,commit,0.0,52.84
1783135231.8398182,commit,0.0,52.84
1783135231.8600447,commit,0.0,52.84
1783135231.8802643,commit,0.0,52.84
1783135231.900547,commit,0.0,52.84
1783135231.9207788,commit,0.0,52.84
1783135231.9409971,commit,0.0,52.84
1783135231.961236,commit,0.0,52.84
1783135231.9815602,commit,0.0,52.84
1783135232.0017788,commit,0.03,52.84
1783135232.022005,commit,0.0,52.84
1783135232.042234,commit,0.0,52.84
1783135232.0625565,commit,0.0,52.84
1783135232.0829191,push,3.7,52.84
1783135232.1031697,push,6.16,52.84
1783135232.123495,push,5.6,53.0
1783135232.1437807,push,6.15,53.0
1783135232.1639888,push,6.65,53.21
1783135232.1842713,push,5.72,53.46
1783135232.2045615,push,6.43,53.46
1783135232.2248714,push,3.72,53.33
1783135232.2451544,push,6.14,53.33
1783135232.2654042,push,4.74,53.14
1783135232.2857046,push,5.05,53.11
1783135232.305959,push,6.14,53.11
1783135232.3261962,push,3.86,53.64
1783135232.3464513,push,6.45,53.52
1783135232.366703,push,5.19,53.66
1783135232.386955,push,5.06,53.54
1783135232.4072437,push,6.1,53.54
1783135232.4274669,push,4.0,53.2
1783135232.4477475,push,6.15,53.2
1783135232.4679976,push,4.34,53.36
1783135232.4883084,push,5.65,53.13
1783135232.508615,push,6.45,53.13
1783135232.528865,push,3.78,53.56
1783135232.549132,push,6.15,53.56
1783135232.5693796,push,5.19,53.93
1783135232.5897236,push,5.34,53.89
1783135232.610027,push,6.13,53.89
1783135232.6302528,push,3.72,53.64
1783135232.6504986,push,6.47,53.64
1783135232.6707606,push,5.05,53.57
1783135232.6909866,push,5.1,53.79
1783135232.7112186,push,6.16,53.79
1783135232.7314408,push,5.1,54.2
1783135232.7517939,push,6.13,54.2
1783135232.7719667,push,4.53,54.43
1783135232.792126,push,2.48,54.91
1783135232.812275,push,2.63,56.12
1783135232.8324406,push,1.59,56.5
