timestamp,phase,cpu_percent,mem_mb
1783135170.5230126,pull,0.0,52.46
1783135170.5431561,pull,6.18,52.46
1783135170.563362,pull,6.02,52.21
1783135170.5835674,pull,5.82,52.21
1783135170.6038039,pull,6.16,52.21
1783135170.6240537,pull,7.9,53.23
1783135170.644382,pull,3.07,53.39
1783135170.6647851,commit,0.0,53.39
1783135170.6852505,commit,0.0,53.26
1783135170.7055345,commit,0.0,53.26
1783135170.725802,commit,0.0,53.26
1783135170.746123,commit,0.0,53.26
1783135170.7663827,commit,0.0,53.25
1783135170.7866795,commit,0.0,53.25
1783135170.806896,commit,0.0,53.25
1783135170.8271515,commit,0.0,53.25
1783135170.847368,commit,0.0,53.25
1783135170.867699,commit,0.0,53.25
1783135170.8879137,commit,0.0,53.25
1783135170.9082842,commit,0.0,53.01
1783135170.9287014,commit,0.0,53.01
1783135170.9490094,commit,0.0,53.01
1783135170.9693172,commit,0.0,53.01
1783135170.9895575,commit,0.0,53.01
1783135171.0098248,commit,0.03,53.01
1783135171.0300443,commit,0.0,53.01
1783135171.0502656,commit,0.0,53.01
1783135171.0705853,push,0.0,53.01
1783135171.0912442,push,4.76,53.01
1783135171.1115093,push,6.44,53.01
1783135171.1317537,push,5.37,53.26
1783135171.1520276,push,6.15,53.26
1783135171.1722634,push,6.29,53.0
1783135171.1926126,push,6.28,53.0
1783135171.2128232,push,5.95,53.0
1783135171.2330701,push,3.58,53.0
1783135171.2533233,push,6.15,53.0
1783135171.2736394,push,3.88,53.14
1783135171.2938437,push,6.09,53.14
1783135171.3141341,push,6.36,52.93
1783135171.3343763,push,3.79,52.84
1783135171.3546267,push,6.15,52.84
1783135171.374893,push,4.11,52.76
1783135171.3951988,push,5.63,52.76
1783135171.4154491,push,6.43,52.76
1783135171.4356778,push,3.4,52.73
1783135171.455973,push,6.13,52.73
1783135171.476194,push,4.55,52.7
1783135171.4964435,push,5.37,52.95
1783135171.5166764,push,6.16,52.95
1783135171.5369086,push,3.8,52.81
1783135171.5571928,push,6.12,52.81
1783135171.5774102,push,5.05,52.96
1783135171.597663,push,5.37,53.14
1783135171.6179192,push,6.15,53.14
1783135171.6381211,push,3.65,53.53
1783135171.6583917,push,6.46,53.53
1783135171.6786826,push,4.24,53.68
1783135171.6988919,push,5.47,53.66
1783135171.7191374,push,6.13,53.66
1783135171.7393312,push,3.88,54.27
1783135171.7594824,push,6.5,54.27
1783135171.779731,push,4.76,54.66
1783135171.80005,push,2.28,55.29
1783135171.820278,push,2.41,55.96
1783135171.8406098,push,1.44,56.57
