named_dir,run_id,sum_latency_sec,sum_cpu_time_sec,max_peak_rss_mb
runs_eth_daemon_20260703_233239,run_014,0.27944684028625466,0.0440309999999999,19.1015625
runs_eth_daemon_20260703_233239,run_006,0.2770936489105223,0.046445,18.9765625
runs_eth_daemon_20260703_233239,run_011,0.27546048164367665,0.045849999999999905,18.9765625
runs_eth_daemon_20260703_233239,run_010,0.3075988292694089,0.053434999999999705,18.9765625
runs_eth_daemon_20260703_233239,run_027,0.2775144577026365,0.046929999999999895,19.2265625
runs_eth_daemon_20260703_233239,run_016,0.31030106544494607,0.0531009999999999,19.1015625
runs_eth_daemon_20260703_233239,run_003,0.276675224304199,0.0433769999999997,18.9765625
runs_eth_daemon_20260703_233239,run_019,0.3050661087036131,0.0503499999999998,19.1015625
runs_eth_daemon_20260703_233239,run_018,0.2792849540710448,0.04880899999999991,19.1015625
runs_eth_daemon_20260703_233239,run_013,0.30867838859558083,0.051547,19.1015625
runs_eth_daemon_20260703_233239,run_024,0.2771656513214108,0.04958599999999999,19.1015625
runs_eth_daemon_20260703_233239,run_030,0.3071722984313963,0.051167999999999804,19.2265625
runs_eth_daemon_20260703_233239,run_028,0.3068177700042724,0.0505319999999998,19.2265625
runs_eth_daemon_20260703_233239,run_026,0.3081893920898436,0.052555999999999894,19.2265625
runs_eth_daemon_20260703_233239,run_008,0.245286464691162,0.045620999999999995,18.9765625
runs_eth_daemon_20260703_233239,run_009,0.27815151214599587,0.0485199999999998,18.9765625
runs_eth_daemon_20260703_233239,run_020,0.3087873458862303,0.055220999999999895,19.1015625
runs_eth_daemon_20260703_233239,run_022,0.27773833274841303,0.0506879999999999,19.1015625
runs_eth_daemon_20260703_233239,run_023,0.3067476749420165,0.049965999999999997,19.1015625
runs_eth_daemon_20260703_233239,run_015,0.2791132926940916,0.0478789999999999,19.1015625
runs_eth_daemon_20260703_233239,run_007,0.2779221534729002,0.0473909999999998,18.9765625
runs_eth_daemon_20260703_233239,run_029,0.28174614906311024,0.0494479999999997,19.2265625
runs_eth_daemon_20260703_233239,run_017,0.2781689167022703,0.045832999999999895,19.1015625
runs_eth_daemon_20260703_233239,run_005,0.275834560394287,0.048874999999999794,18.9765625
runs_eth_daemon_20260703_233239,run_001,0.2762658596038816,0.0472709999999999,18.8515625
runs_eth_daemon_20260703_233239,run_025,0.3030402660369871,0.0457119999999998,19.1015625
runs_eth_daemon_20260703_233239,run_021,0.2743954658508298,0.0427359999999998,19.1015625
runs_eth_daemon_20260703_233239,run_002,0.2779197692871092,0.0478269999999999,18.9765625
runs_eth_daemon_20260703_233239,run_004,0.2780482769012449,0.0469989999999999,18.9765625
runs_eth_daemon_20260703_233239,run_012,0.2752120494842527,0.046311999999999805,18.9765625
