timestamp,phase,cpu_percent,mem_mb
1783125401.9583437,pull,0.0,51.55
1783125401.978681,pull,6.41,51.55
1783125401.9989908,pull,6.13,51.55
1783125402.019315,pull,6.18,51.55
1783125402.0397224,pull,6.5,51.55
1783125402.060032,pull,5.25,51.55
1783125402.0805044,pull,6.38,51.55
1783125402.1008568,pull,6.1,51.55
1783125402.1211464,pull,6.12,51.55
1783125402.1414866,pull,5.69,51.67
1783125402.161868,pull,8.83,52.38
1783125402.1828396,pull,0.0,52.32
1783125402.2034712,commit,0.0,52.23
1783125402.2240052,commit,0.0,52.23
1783125402.2446597,push,0.43,52.16
1783125402.2651765,push,6.04,52.16
1783125402.2854862,push,6.42,52.16
1783125402.3057837,push,6.13,52.16
1783125402.3261483,push,6.33,52.16
1783125402.3464544,push,5.51,52.31
1783125402.3669221,push,6.05,52.31
1783125402.3872294,push,6.12,52.31
1783125402.4075236,push,6.43,52.31
1783125402.4278607,push,5.64,52.07
1783125402.448228,push,6.11,52.07
1783125402.4686472,push,6.39,52.07
1783125402.4889357,push,6.13,52.07
1783125402.5092359,push,6.12,52.77
1783125402.5296874,push,3.82,52.25
1783125402.5501072,push,6.09,52.25
1783125402.57053,push,6.38,52.25
1783125402.590817,push,6.14,52.25
1783125402.6111035,push,6.31,52.25
1783125402.631543,push,2.38,52.75
1783125402.6519537,push,6.09,52.75
1783125402.6723278,push,6.09,52.75
1783125402.692644,push,6.42,52.75
1783125402.7129319,push,6.24,52.75
1783125402.7332802,push,2.75,52.47
1783125402.7537055,push,6.76,52.47
1783125402.7759516,push,5.58,52.47
1783125402.7962382,push,6.12,52.47
1783125402.8166113,push,6.57,52.82
1783125402.836937,push,2.91,53.02
1783125402.857311,push,3.21,52.82
1783125402.877978,push,1.9,53.11
