timestamp,phase,cpu_percent,mem_rss_mb
1783134972.8257039,pull,0.0,11.191
1783134972.8532155,pull,0.0,11.191
1783134972.8816278,pull,0.0,11.59
1783134972.9095893,pull,0.0,11.59
1783134972.9378216,pull,0.0,0.0
1783134972.9728587,commit,0.0,13.77
1783134973.0011203,commit,70.8,29.477
1783134973.0295832,commit,140.5,43.027
1783134973.0571434,commit,72.6,49.844
1783134973.0840864,commit,111.3,50.824
1783134973.1113725,commit,73.3,52.121
1783134973.1379154,commit,150.7,53.676
1783134973.1649432,commit,111.0,54.422
1783134973.191764,commit,74.6,54.93
1783134973.2183616,commit,112.8,57.008
1783134973.2454147,commit,73.9,58.266
1783134973.2722473,commit,111.8,58.371
1783134973.298671,commit,113.5,59.262
1783134973.325752,commit,73.9,59.547
1783134973.3526409,commit,111.6,59.945
1783134973.383163,push,0.0,11.301
1783134973.4107826,push,0.0,11.301
1783134973.4384966,push,0.0,11.77
1783134973.4649167,push,0.0,11.77
1783134973.4938552,push,0.0,11.914
1783134973.5210223,push,0.0,11.914
1783134973.549315,push,0.0,11.941
1783134973.577216,push,0.0,11.941
1783134973.6049817,push,0.0,11.941
1783134973.6330857,push,0.0,11.941
1783134973.660351,push,0.0,11.941
1783134973.6882977,push,0.0,11.941
1783134973.7150004,push,0.0,11.941
1783134973.7424004,push,0.0,11.941
1783134973.7691784,push,0.0,11.941
1783134973.7970197,push,0.0,11.941
1783134973.8251407,push,0.0,11.941
1783134973.8537104,push,0.0,11.941
1783134973.8819323,push,0.0,11.941
1783134973.9093099,push,0.0,11.941
1783134973.938382,push,0.0,11.941
1783134973.965736,push,0.0,11.941
1783134973.9933133,push,0.0,11.941
1783134974.0206282,push,0.0,11.941
1783134974.048352,push,0.0,11.941
1783134974.076032,push,0.0,11.941
1783134974.104185,push,0.0,11.941
1783134974.1328287,push,0.0,0.0
