timestamp,phase,cpu_percent,mem_mb
1783125355.9113154,pull,0.0,47.79
1783125355.9316633,pull,6.41,47.79
1783125355.9519618,pull,6.1,47.79
1783125355.97227,pull,6.13,47.79
1783125355.9926589,pull,5.72,47.79
1783125356.0129848,pull,5.7,47.73
1783125356.033428,pull,6.38,47.73
1783125356.0537508,pull,6.11,47.73
1783125356.0740528,pull,6.13,47.73
1783125356.0944304,pull,5.69,47.87
1783125356.1148546,pull,8.68,48.15
1783125356.1354446,pull,0.28,48.0
1783125356.1562479,commit,0.0,47.93
1783125356.176992,commit,0.0,47.93
1783125356.1976678,push,1.18,47.93
1783125356.2181318,push,6.07,47.93
1783125356.23842,push,6.43,47.93
1783125356.2588615,push,6.08,47.92
1783125356.2792354,push,5.98,48.17
1783125356.2995272,push,5.77,48.17
1783125356.3199673,push,6.08,48.17
1783125356.3402622,push,6.12,48.17
1783125356.3605757,push,6.43,48.17
1783125356.3809185,push,5.69,48.57
1783125356.4013033,push,6.1,48.57
1783125356.4217677,push,6.36,48.57
1783125356.4420779,push,6.12,48.57
1783125356.4623473,push,6.41,48.7
1783125356.4828045,push,3.98,48.68
1783125356.5032485,push,6.06,48.68
1783125356.5237129,push,6.37,48.68
1783125356.5440223,push,6.12,48.68
1783125356.5643106,push,6.14,48.68
1783125356.5846615,push,2.42,48.36
1783125356.605077,push,6.09,48.36
1783125356.6254764,push,6.39,48.36
1783125356.6459668,push,6.08,48.35
1783125356.6662805,push,6.28,48.6
1783125356.6867974,push,2.92,48.57
1783125356.7071855,push,6.09,48.57
1783125356.7276013,push,6.39,48.57
1783125356.7479112,push,6.12,48.57
1783125356.7682254,push,6.44,48.96
1783125356.7886138,push,2.87,48.55
1783125356.808908,push,21.0,52.02
1783125356.8310769,push,4.05,51.61
1783125356.851746,push,3.7,51.5
1783125356.8723302,push,0.0,51.5
