timestamp,phase,cpu_percent,mem_rss_mb
1783125355.9141397,pull,0.0,11.332
1783125355.9491584,pull,0.0,11.332
1783125355.9823515,pull,0.0,11.332
1783125356.017409,pull,0.0,11.746
1783125356.0502558,pull,0.0,11.746
1783125356.0831103,pull,0.0,11.746
1783125356.1208076,pull,26.5,0.0
1783125356.161332,commit,0.0,0.0
1783125356.2008355,push,0.0,11.184
1783125356.2351599,push,0.0,11.184
1783125356.268109,push,0.0,11.184
1783125356.3025615,push,0.0,11.57
1783125356.3353684,push,0.0,11.57
1783125356.3677855,push,0.0,11.57
1783125356.4026976,push,0.0,11.637
1783125356.4358218,push,0.0,11.637
1783125356.4708707,push,0.0,11.637
1783125356.5068688,push,0.0,11.637
1783125356.5396245,push,0.0,11.637
1783125356.573733,push,0.0,11.637
1783125356.6089444,push,0.0,11.637
1783125356.641813,push,0.0,11.637
1783125356.6763036,push,0.0,11.637
1783125356.71144,push,0.0,11.637
1783125356.7447488,push,0.0,11.637
1783125356.7790418,push,0.0,11.637
1783125356.8178453,push,0.0,11.637
1783125356.8555753,push,26.4,0.0
