timestamp,phase,cpu_percent,mem_rss_mb
1783135079.6445265,pull,0.0,11.133
1783135079.6726537,pull,0.0,11.133
1783135079.700691,pull,0.0,11.406
1783135079.7288733,pull,0.0,11.406
1783135079.7584898,pull,0.0,0.0
1783135079.793244,commit,0.0,14.371
1783135079.821411,commit,106.5,30.062
1783135079.8498096,commit,70.4,43.848
1783135079.8778453,commit,142.7,50.246
1783135079.9051876,commit,73.1,51.328
1783135079.9324598,commit,110.0,52.793
1783135079.9590764,commit,112.7,54.145
1783135079.9860907,commit,74.0,54.848
1783135080.0133514,commit,110.1,55.492
1783135080.0407932,commit,109.3,57.41
1783135080.0680351,commit,73.4,58.68
1783135080.094677,commit,112.6,58.945
1783135080.121804,commit,110.6,59.738
1783135080.148536,commit,74.8,59.957
1783135080.1753342,commit,111.9,60.355
1783135080.2068613,push,0.0,11.145
1783135080.2345755,push,0.0,11.145
1783135080.2620132,push,0.0,11.621
1783135080.2893507,push,0.0,11.621
1783135080.3178654,push,0.0,11.766
1783135080.3456237,push,0.0,11.793
1783135080.3733397,push,0.0,11.793
1783135080.4010112,push,0.0,11.793
1783135080.4284565,push,0.0,11.793
1783135080.456421,push,0.0,11.793
1783135080.483082,push,0.0,11.793
1783135080.5107176,push,0.0,11.793
1783135080.5384834,push,0.0,11.793
1783135080.566253,push,0.0,11.793
1783135080.5936654,push,0.0,11.793
1783135080.6208723,push,0.0,11.793
1783135080.6484725,push,0.0,11.793
1783135080.675569,push,0.0,11.793
1783135080.703266,push,0.0,11.793
1783135080.7306519,push,0.0,11.793
1783135080.758673,push,0.0,11.793
1783135080.7867618,push,0.0,11.793
1783135080.8147106,push,0.0,11.793
1783135080.842777,push,0.0,11.793
1783135080.8703337,push,0.0,11.793
1783135080.8987038,push,0.0,11.793
1783135080.9269822,push,0.0,11.793
