timestamp,phase,cpu_percent,mem_rss_mb
1783135109.8509781,pull,0.0,11.184
1783135109.8790178,pull,0.0,11.184
1783135109.9078984,pull,0.0,11.582
1783135109.936092,pull,0.0,11.582
1783135109.9643586,pull,0.0,0.0
1783135109.999299,commit,0.0,13.832
1783135110.027591,commit,106.0,29.375
1783135110.055747,commit,106.5,42.934
1783135110.0833514,commit,108.7,50.023
1783135110.1101978,commit,74.5,51.004
1783135110.1373203,commit,110.6,52.301
1783135110.163978,commit,112.5,53.855
1783135110.1903572,commit,75.8,54.602
1783135110.2170367,commit,112.5,55.27
1783135110.2439706,commit,74.3,57.188
1783135110.2706625,commit,112.4,58.449
1783135110.297354,commit,112.4,58.723
1783135110.324476,commit,110.6,59.516
1783135110.3510706,commit,75.2,59.734
1783135110.377727,commit,112.5,60.129
1783135110.4091213,push,0.0,11.188
1783135110.4367788,push,0.0,11.188
1783135110.4648154,push,0.0,11.656
1783135110.49178,push,0.0,11.656
1783135110.5197647,push,0.0,11.801
1783135110.5469854,push,0.0,11.801
1783135110.5746565,push,0.0,11.828
1783135110.602783,push,0.0,11.828
1783135110.6297877,push,0.0,11.828
1783135110.6577652,push,0.0,11.828
1783135110.6853943,push,0.0,11.828
1783135110.7129946,push,0.0,11.828
1783135110.7402775,push,0.0,11.828
1783135110.7679756,push,0.0,11.828
1783135110.7952344,push,0.0,11.828
1783135110.8228571,push,0.0,11.828
1783135110.8509312,push,0.0,11.828
1783135110.8785212,push,0.0,11.828
1783135110.906351,push,0.0,11.828
1783135110.933067,push,0.0,11.828
1783135110.9605618,push,0.0,11.828
1783135110.9891798,push,0.0,11.828
1783135111.0166163,push,0.0,11.828
1783135111.0452402,push,0.0,11.828
1783135111.07267,push,0.0,11.828
1783135111.101697,push,0.0,11.828
1783135111.1306696,push,0.0,11.828
