timestamp,phase,cpu_percent,mem_rss_mb
1783134957.780712,pull,0.0,11.109
1783134957.8087869,pull,0.0,11.109
1783134957.8381708,pull,0.0,11.508
1783134957.8660605,pull,0.0,11.508
1783134957.894046,pull,0.0,0.0
1783134957.9288967,commit,0.0,14.414
1783134957.9569986,commit,106.8,30.098
1783134957.9851205,commit,106.7,43.742
1783134958.0129027,commit,108.0,50.18
1783134958.0399098,commit,74.0,51.262
1783134958.0671473,commit,110.1,52.547
1783134958.0937097,commit,75.3,54.055
1783134958.1207085,commit,111.1,54.758
1783134958.1475985,commit,111.6,55.426
1783134958.1747282,commit,73.7,57.344
1783134958.2014313,commit,112.3,58.613
1783134958.2279048,commit,113.3,58.879
1783134958.2543228,commit,75.7,59.672
1783134958.2808504,commit,113.1,59.883
1783134958.307963,commit,73.8,60.285
1783134958.339293,push,0.0,11.141
1783134958.366797,push,0.0,11.141
1783134958.3943772,push,0.0,11.609
1783134958.4212132,push,0.0,11.609
1783134958.4485662,push,0.0,11.754
1783134958.4755938,push,0.0,11.754
1783134958.503307,push,0.0,11.781
1783134958.5299945,push,0.0,11.781
1783134958.557806,push,0.0,11.781
1783134958.5855637,push,0.0,11.781
1783134958.6129375,push,0.0,11.781
1783134958.6405363,push,0.0,11.781
1783134958.6676643,push,0.0,11.781
1783134958.6956742,push,0.0,11.781
1783134958.7225242,push,0.0,11.781
1783134958.7501693,push,0.0,11.781
1783134958.7775064,push,0.0,11.781
1783134958.804961,push,0.0,11.781
1783134958.8317149,push,0.0,11.781
1783134958.8596554,push,0.0,11.781
1783134958.887345,push,0.0,11.781
1783134958.914769,push,0.0,11.781
1783134958.9425578,push,0.0,11.781
1783134958.9695382,push,0.0,11.781
1783134958.9967506,push,36.8,11.781
1783134959.0250134,push,0.0,11.781
1783134959.0528283,push,0.0,11.781
1783134959.0811687,push,0.0,11.781
