phase,latency_sec,returncode,exact_cpu_time_sec,exact_peak_rss_mb
clone,0.15169286727905273,0,0.026463999999999998,18.9765625
add,0.028792142868041992,0,0.005122999999999999,18.9765625
commit,0.03168296813964844,0,0.006524,18.9765625
push,0.06304407119750977,0,0.008201,18.9765625
