timestamp,phase,cpu_percent,mem_mb
1783133405.734229,clone,0.0,4.0
1783133405.7544417,clone,0.0,3.7
1783133405.7746553,clone,0.24,3.68
1783133405.7948139,clone,0.0,3.68
1783133405.8150132,clone,0.0,3.68
1783133405.835171,clone,1.42,3.5
1783133405.8554602,clone,0.0,3.5
1783133405.875895,clone,0.21,3.25
1783133405.8966742,clone,0.0,2.99
1783133405.9170134,add,0.0,2.82
1783133405.937422,add,0.0,2.82
1783133405.957849,commit,0.0,2.75
1783133405.9782448,commit,0.0,2.75
1783133405.998543,push,0.96,2.86
1783133406.0188699,push,0.0,2.86
1783133406.0392272,push,2.59,2.95
