named_dir,run_id,sum_latency_sec,sum_cpu_time_sec,max_peak_rss_mb
runs_20260703_203715,run_014,4.101179599761963,1.824723,65.2890625
runs_20260703_203715,run_006,4.21030592918396,1.91506,65.3828125
runs_20260703_203715,run_011,4.368253469467163,1.972529,65.4296875
runs_20260703_203715,run_010,4.1110522747039795,1.804449,65.21875
runs_20260703_203715,run_027,4.075982570648193,1.743669,65.23828125
runs_20260703_203715,run_016,4.301565885543823,1.9154969999999998,65.47265625
runs_20260703_203715,run_003,4.199690103530884,1.9099789999999999,65.73046875
runs_20260703_203715,run_019,4.341938257217408,1.970476,65.3671875
runs_20260703_203715,run_018,4.372464418411255,1.973212,65.5234375
runs_20260703_203715,run_013,4.212115287780762,1.88365,65.65234375
runs_20260703_203715,run_024,4.223248481750488,1.9140429999999997,65.484375
runs_20260703_203715,run_030,4.229684829711914,1.8817149999999998,65.43359375
runs_20260703_203715,run_028,4.292679786682129,1.92952,65.60546875
runs_20260703_203715,run_026,4.148503303527832,1.837973,65.20703125
runs_20260703_203715,run_008,4.268757581710815,1.927991,65.49609375
runs_20260703_203715,run_009,4.233113050460815,1.7675389999999997,65.52734375
runs_20260703_203715,run_020,4.185998439788818,1.8326129999999998,65.45703125
runs_20260703_203715,run_022,4.2968528270721436,1.929173,65.69140625
runs_20260703_203715,run_023,4.283123016357422,1.9110660000000002,65.11328125
runs_20260703_203715,run_015,4.253454923629761,1.934047,65.5234375
runs_20260703_203715,run_007,3.85182785987854,1.532446,65.53515625
runs_20260703_203715,run_029,4.329054832458496,1.963927,64.97265625
runs_20260703_203715,run_017,4.163354873657227,1.8558590000000001,65.45703125
runs_20260703_203715,run_005,4.237762689590454,1.919862,65.44140625
runs_20260703_203715,run_001,4.489352226257324,1.938553,65.484375
runs_20260703_203715,run_025,4.316646099090576,1.930418,65.40234375
runs_20260703_203715,run_021,4.29811954498291,1.928532,65.12109375
runs_20260703_203715,run_002,4.25718355178833,1.929141,65.25
runs_20260703_203715,run_004,4.31991982460022,1.967153,65.75
runs_20260703_203715,run_012,4.2609593868255615,1.912971,65.4375
