timestamp,phase,cpu_percent,mem_mb
1783133406.9195683,clone,0.0,2.96
1783133406.9397829,clone,0.0,2.71
1783133406.9600918,clone,0.25,2.45
1783133406.9804,clone,0.0,2.45
1783133407.0009155,clone,0.0,2.45
1783133407.0214727,clone,1.01,2.74
1783133407.0417984,clone,0.0,2.74
1783133407.0622082,clone,0.23,2.48
1783133407.082593,add,0.0,2.13
1783133407.102805,commit,0.0,2.13
1783133407.1231477,commit,0.0,2.02
1783133407.1434603,push,0.94,2.48
1783133407.1639638,push,0.0,2.48
1783133407.1842742,push,1.0,3.48
