timestamp,phase,cpu_percent,mem_mb
1783125005.5490303,pull,0.0,48.21
1783125005.5693839,pull,6.41,48.21
1783125005.5897262,pull,6.12,48.21
1783125005.6100216,pull,6.14,48.21
1783125005.6302974,pull,5.64,47.91
1783125005.6506498,pull,5.92,47.7
1783125005.6712298,pull,6.03,47.7
1783125005.691572,pull,6.41,47.7
1783125005.7119749,pull,6.08,47.7
1783125005.732279,pull,5.58,47.58
1783125005.7526808,pull,7.72,48.34
1783125005.77377,pull,3.56,48.07
1783125005.7943816,commit,0.0,48.01
1783125005.8148708,commit,0.0,47.93
1783125005.8352144,push,0.0,47.93
1783125005.855759,push,5.64,48.18
1783125005.8760886,push,6.09,48.18
1783125005.896376,push,6.02,48.32
1783125005.9166815,push,5.82,48.3
1783125005.9369867,push,6.14,48.3
1783125005.9572394,push,5.95,48.49
1783125005.9775658,push,6.44,48.49
1783125005.9977448,push,5.81,48.61
1783125006.0180478,push,4.24,48.73
1783125006.0383215,push,6.15,48.73
1783125006.0585086,push,4.08,49.13
1783125006.078786,push,5.47,49.12
1783125006.0991495,push,6.12,49.12
1783125006.1194801,push,3.65,49.11
1783125006.1398005,push,6.14,49.11
1783125006.159943,push,5.74,48.9
1783125006.1801527,push,2.61,48.87
1783125006.2004907,push,15.83,52.84
1783125006.220958,push,5.15,52.87
