timestamp,phase,cpu_percent,mem_rss_mb
1783135246.8106778,pull,0.0,11.152
1783135246.8383374,pull,0.0,11.152
1783135246.8660932,pull,0.0,11.418
1783135246.89408,pull,0.0,11.418
1783135246.9220712,pull,0.0,0.0
1783135246.956998,commit,0.0,14.539
1783135246.985562,commit,105.0,30.473
1783135247.0138018,commit,106.2,44.125
1783135247.0416925,commit,107.6,50.285
1783135247.0688798,commit,110.3,51.367
1783135247.09562,commit,74.8,52.648
1783135247.1225262,commit,111.5,54.16
1783135247.1492448,commit,74.9,54.863
1783135247.17593,commit,112.4,55.531
1783135247.2029128,commit,111.2,57.449
1783135247.2295132,commit,112.8,58.711
1783135247.2560947,commit,75.2,58.984
1783135247.2824676,commit,113.8,59.703
1783135247.3088493,commit,75.8,59.988
1783135247.3352482,commit,113.6,60.387
1783135247.3658028,push,0.0,11.062
1783135247.394056,push,0.0,11.062
1783135247.4217339,push,0.0,11.469
1783135247.44908,push,0.0,11.469
1783135247.4771152,push,0.0,11.613
1783135247.5044277,push,0.0,11.613
1783135247.5318754,push,0.0,11.641
1783135247.5593069,push,0.0,11.641
1783135247.586602,push,0.0,11.641
1783135247.6145265,push,0.0,11.641
1783135247.6417077,push,0.0,11.641
1783135247.669138,push,0.0,11.641
1783135247.6964796,push,0.0,11.641
1783135247.7240446,push,0.0,11.641
1783135247.7505927,push,0.0,11.641
1783135247.778397,push,0.0,11.641
1783135247.805728,push,0.0,11.641
1783135247.8332021,push,0.0,11.641
1783135247.8604853,push,0.0,11.641
1783135247.8880882,push,0.0,11.641
1783135247.9152691,push,0.0,11.641
1783135247.9430451,push,0.0,11.641
1783135247.9706283,push,0.0,11.641
1783135247.997644,push,0.0,11.641
1783135248.0253143,push,0.0,11.641
1783135248.0520804,push,0.0,11.641
1783135248.0799549,push,0.0,11.641
1783135248.1079197,push,0.0,11.641
