timestamp,phase,cpu_percent,mem_mb
1783135986.9571178,clone,0.0,4.16
1783135986.9772956,clone,0.0,3.73
1783135986.997431,clone,0.21,3.47
1783135987.0176845,clone,0.0,3.47
1783135987.0380723,clone,0.0,3.47
1783135987.0586944,clone,1.27,3.83
1783135987.0790184,clone,0.0,3.83
1783135987.0994008,clone,0.21,3.12
1783135987.1196048,add,0.0,3.09
1783135987.1398456,commit,0.0,3.0
1783135987.1601262,commit,0.0,3.0
1783135987.180327,push,0.79,3.71
1783135987.2005935,push,0.0,3.71
1783135987.2208407,push,0.93,4.06
