timestamp,phase,cpu_percent,mem_rss_mb
1783125051.4308484,pull,0.0,11.125
1783125051.467087,pull,0.0,11.125
1783125051.5004473,pull,0.0,11.125
1783125051.5372365,pull,0.0,11.477
1783125051.57453,pull,0.0,11.477
1783125051.6088798,pull,0.0,11.477
1783125051.6461935,pull,0.0,0.0
1783125051.6882365,commit,0.0,0.0
1783125051.728448,push,0.0,11.137
1783125051.7633064,push,0.0,11.137
1783125051.7965646,push,0.0,11.137
1783125051.831206,push,0.0,11.461
1783125051.8661861,push,0.0,11.461
1783125051.9023697,push,0.0,11.465
1783125051.937854,push,0.0,11.527
1783125051.9715502,push,0.0,11.527
1783125052.0091991,push,0.0,11.527
1783125052.0453556,push,0.0,11.527
1783125052.0792453,push,0.0,11.527
1783125052.1166492,push,0.0,11.527
1783125052.1519806,push,0.0,11.527
1783125052.1854744,push,0.0,11.527
1783125052.2230341,push,0.0,11.527
1783125052.257677,push,0.0,11.527
1783125052.2887626,push,0.0,11.527
1783125052.3226542,push,0.0,11.527
