phase,latency_sec,returncode,exact_cpu_time_sec,exact_peak_rss_mb
pull,0.14257431030273438,0,0.008406,20.34765625
commit,0.41109466552734375,0,0.396306,60.34375
push,0.7772026062011719,0,0.017886,20.34765625
