timestamp,phase,cpu_percent,mem_mb
1783135094.7339091,pull,0.0,52.95
1783135094.7540634,pull,6.18,52.95
1783135094.774258,pull,6.14,53.2
1783135094.7944448,pull,5.72,53.02
1783135094.8146188,pull,6.18,53.02
1783135094.8347886,pull,8.86,53.7
1783135094.855028,pull,3.16,53.91
1783135094.8752878,commit,0.0,53.91
1783135094.8956811,commit,0.0,53.86
1783135094.9159658,commit,0.0,53.86
1783135094.9362273,commit,0.0,53.86
1783135094.9565477,commit,0.0,53.86
1783135094.976803,commit,0.0,53.86
1783135094.997033,commit,0.0,53.86
1783135095.0172498,commit,0.03,53.86
1783135095.0375986,commit,0.0,53.86
1783135095.0578249,commit,0.0,53.86
1783135095.0780458,commit,0.0,53.86
1783135095.0982733,commit,0.0,53.86
1783135095.118568,commit,0.0,53.86
1783135095.1387866,commit,0.0,53.86
1783135095.1590545,commit,0.0,53.86
1783135095.1792839,commit,0.0,53.84
1783135095.1996715,commit,0.0,53.84
1783135095.2198977,commit,0.0,53.84
1783135095.2400892,commit,0.0,53.84
1783135095.2603116,commit,0.0,53.84
1783135095.2809727,commit,0.0,53.84
1783135095.301567,push,3.68,54.05
1783135095.3218327,push,6.16,54.05
1783135095.3420699,push,5.48,53.99
1783135095.362382,push,6.44,53.99
1783135095.3826778,push,6.82,53.97
1783135095.4028485,push,5.92,53.92
1783135095.4230597,push,6.31,53.92
1783135095.4432888,push,3.44,53.49
1783135095.4635506,push,6.46,53.49
1783135095.4837554,push,4.35,53.65
1783135095.5039904,push,5.27,53.5
1783135095.5242212,push,6.16,53.5
1783135095.5444398,push,4.11,53.77
1783135095.5646808,push,6.16,53.77
1783135095.5849264,push,5.38,53.89
1783135095.605144,push,4.59,53.65
1783135095.6253755,push,6.47,53.65
1783135095.645612,push,3.64,54.01
1783135095.6658392,push,6.16,54.01
1783135095.6860876,push,4.75,53.95
1783135095.7063017,push,5.13,54.12
1783135095.7264364,push,6.5,54.12
1783135095.74681,push,4.08,54.04
1783135095.767092,push,6.15,54.04
1783135095.787327,push,5.09,54.05
1783135095.8076694,push,5.31,53.92
1783135095.8279014,push,6.16,53.92
1783135095.8481026,push,3.89,53.83
1783135095.868347,push,6.16,53.83
1783135095.8886015,push,4.72,53.81
1783135095.9088814,push,5.71,53.8
1783135095.9291248,push,6.24,54.2
1783135095.9493399,push,4.12,54.45
1783135095.9696279,push,6.45,54.45
1783135095.9898329,push,4.54,54.81
1783135096.0101707,push,2.23,55.33
1783135096.0304654,push,2.99,55.83
1783135096.0507627,push,1.39,56.49
