phase,latency_sec,returncode,exact_cpu_time_sec,exact_peak_rss_mb
pull,0.2486276626586914,0,0.014994,20.109375
commit,0.039989471435546875,0,0.015525,20.109375
push,0.6594021320343018,0,0.018894,20.109375
