timestamp,phase,cpu_percent,mem_rss_mb
1783125277.7132282,pull,0.0,11.129
1783125277.7481465,pull,0.0,11.129
1783125277.7813506,pull,0.0,11.129
1783125277.8162801,pull,0.0,11.48
1783125277.8491154,pull,0.0,11.48
1783125277.8820653,pull,0.0,11.48
1783125277.9198923,pull,0.0,0.0
1783125277.9613,commit,0.0,0.0
1783125278.000365,push,0.0,11.141
1783125278.0347254,push,0.0,11.141
1783125278.0679073,push,0.0,11.141
1783125278.102476,push,0.0,11.527
1783125278.135693,push,0.0,11.527
1783125278.168607,push,0.0,11.527
1783125278.2034214,push,0.0,11.594
1783125278.23625,push,0.0,11.594
1783125278.2716942,push,0.0,11.594
1783125278.309743,push,26.3,11.594
1783125278.343091,push,0.0,11.594
1783125278.3771925,push,0.0,11.594
1783125278.4125412,push,0.0,11.594
1783125278.445503,push,0.0,11.594
1783125278.4797392,push,0.0,11.594
1783125278.5171554,push,0.0,11.594
1783125278.5509636,push,0.0,11.594
1783125278.5842032,push,0.0,11.594
1783125278.62041,push,0.0,11.594
