timestamp,phase,cpu_percent,mem_rss_mb
1783135155.5676517,pull,0.0,11.125
1783135155.5955641,pull,0.0,11.125
1783135155.6233943,pull,0.0,11.523
1783135155.6515033,pull,0.0,11.523
1783135155.6792963,pull,0.0,0.0
1783135155.7134113,commit,0.0,14.254
1783135155.7415407,commit,106.7,29.688
1783135155.7696397,commit,106.8,43.383
1783135155.797355,commit,72.1,49.84
1783135155.8242247,commit,111.6,50.922
1783135155.851345,commit,110.6,52.301
1783135155.877839,commit,75.5,53.715
1783135155.9042087,commit,113.8,54.418
1783135155.9305072,commit,76.0,55.086
1783135155.9571807,commit,112.5,57.004
1783135155.9842358,commit,110.9,58.273
1783135156.0108,commit,75.3,58.539
1783135156.0375047,commit,112.4,59.332
1783135156.0645268,commit,111.0,59.551
1783135156.0911164,commit,75.2,59.945
1783135156.1225739,push,0.0,11.234
1783135156.1505213,push,0.0,11.234
1783135156.1782925,push,0.0,11.711
1783135156.2053773,push,0.0,11.711
1783135156.232853,push,0.0,11.855
1783135156.2602465,push,0.0,11.855
1783135156.2876992,push,0.0,11.883
1783135156.3158293,push,0.0,11.883
1783135156.3432739,push,0.0,11.883
1783135156.3714268,push,0.0,11.883
1783135156.3987393,push,0.0,11.883
1783135156.4286952,push,0.0,11.883
1783135156.4556909,push,0.0,11.883
1783135156.483478,push,0.0,11.883
1783135156.5123563,push,0.0,11.883
1783135156.5397384,push,0.0,11.883
1783135156.5678382,push,0.0,11.883
1783135156.5948656,push,0.0,11.883
1783135156.6228344,push,0.0,11.883
1783135156.6496115,push,0.0,11.883
1783135156.6772978,push,0.0,11.883
1783135156.7050476,push,0.0,11.883
1783135156.7326405,push,0.0,11.883
1783135156.760428,push,36.0,11.883
1783135156.7892177,push,0.0,11.883
1783135156.8177762,push,0.0,11.883
1783135156.8463871,push,0.0,11.883
