timestamp,phase,cpu_percent,mem_mb
1783133395.403025,clone,0.0,3.73
1783133395.4231935,clone,0.0,3.22
1783133395.4435248,clone,0.19,3.2
1783133395.4637563,clone,0.0,3.2
1783133395.4840014,clone,0.0,3.14
1783133395.5043182,clone,1.67,3.19
1783133395.524634,clone,0.0,3.19
1783133395.544846,clone,0.23,2.94
1783133395.5650558,add,0.0,2.55
1783133395.5852227,commit,0.0,2.55
1783133395.6055436,commit,0.0,2.55
1783133395.6257315,push,0.88,3.23
1783133395.6460242,push,0.0,3.23
1783133395.6662364,push,1.24,3.67
