timestamp,phase,cpu_percent,mem_mb
1783125216.703404,pull,22.3,47.25
1783125216.7238069,pull,6.08,47.24
1783125216.7440164,pull,6.16,47.24
1783125216.764169,pull,6.18,47.24
1783125216.7843323,pull,6.17,47.24
1783125216.8045537,pull,5.68,47.07
1783125216.8249357,pull,6.1,47.07
1783125216.8450906,pull,6.15,47.07
1783125216.8653164,pull,6.15,47.06
1783125216.8855257,pull,6.05,47.52
1783125216.905872,pull,6.99,49.43
1783125216.926309,pull,4.14,49.95
1783125216.9466941,commit,0.0,49.9
1783125216.966981,commit,0.0,49.83
1783125216.987309,push,0.42,50.01
1783125217.007648,push,6.16,50.01
1783125217.0279632,push,6.14,50.01
1783125217.0482078,push,5.32,49.96
1783125217.0684743,push,6.45,49.96
1783125217.0886858,push,6.3,49.89
1783125217.1089103,push,5.63,49.54
1783125217.1291459,push,6.15,49.54
1783125217.1492972,push,3.69,49.97
1783125217.1696353,push,6.43,49.97
1783125217.1899114,push,5.64,49.97
1783125217.2101583,push,3.36,49.92
1783125217.2304318,push,6.46,49.92
1783125217.2507484,push,4.52,50.16
1783125217.271162,push,20.59,53.13
1783125217.291525,push,6.42,53.13
1783125217.3117201,push,4.45,52.94
1783125217.3321457,push,1.25,52.88
1783125217.3528047,push,1.89,53.01
1783125217.3731954,push,0.86,52.89
