timestamp,phase,cpu_percent,mem_mb
1783135336.869255,pull,0.0,51.68
1783135336.8894825,pull,6.47,51.68
1783135336.9097247,pull,5.88,51.59
1783135336.9299743,pull,5.61,51.58
1783135336.9502182,pull,6.15,51.58
1783135336.970454,pull,8.16,51.76
1783135336.9907346,pull,5.81,51.19
1783135337.0110662,commit,0.05,51.17
1783135337.0313163,commit,0.0,51.06
1783135337.0516179,commit,0.0,51.06
1783135337.0718853,commit,0.0,51.06
1783135337.0922368,commit,0.0,51.06
1783135337.1124942,commit,0.0,51.06
1783135337.1327188,commit,0.0,51.06
1783135337.1529467,commit,0.0,51.06
1783135337.1732218,commit,0.0,51.06
1783135337.1934495,commit,0.0,51.06
1783135337.2136767,commit,0.0,51.06
1783135337.2338982,commit,0.0,51.06
1783135337.2542546,commit,0.0,51.06
1783135337.274562,commit,0.0,51.06
1783135337.2947872,commit,0.0,51.06
1783135337.3150089,commit,0.0,51.06
1783135337.335291,commit,0.0,51.06
1783135337.355519,commit,0.0,51.06
1783135337.3757396,commit,0.0,51.06
1783135337.395961,commit,0.0,51.06
1783135337.4165397,commit,0.0,51.06
1783135337.437247,push,4.1,51.46
1783135337.4575253,push,6.46,51.46
1783135337.4777842,push,5.6,51.8
1783135337.4981003,push,6.13,51.8
1783135337.518309,push,6.21,52.15
1783135337.5386753,push,6.43,52.15
1783135337.5589037,push,5.76,52.27
1783135337.579197,push,4.03,52.34
1783135337.5994444,push,6.47,52.34
1783135337.619693,push,3.63,52.06
1783135337.6401417,push,6.09,52.06
1783135337.6604197,push,5.86,52.16
1783135337.6806903,push,4.17,52.27
1783135337.700928,push,6.16,52.27
1783135337.7211735,push,4.28,52.16
1783135337.741466,push,6.43,52.16
1783135337.7616704,push,5.22,52.31
1783135337.7818499,push,4.64,52.21
1783135337.8021517,push,6.13,52.21
1783135337.8223777,push,4.01,52.07
1783135337.8426595,push,6.15,52.07
1783135337.8628829,push,5.13,52.07
1783135337.8830562,push,5.18,52.3
1783135337.903304,push,6.16,52.3
1783135337.9235177,push,4.16,51.91
1783135337.9437532,push,6.16,51.91
1783135337.9640007,push,4.99,52.59
1783135337.9841626,push,4.82,52.48
1783135338.0043893,push,6.48,52.48
1783135338.024595,push,4.21,53.06
1783135338.0448556,push,6.14,53.06
1783135338.0651531,push,6.01,53.37
1783135338.0854046,push,4.94,53.35
1783135338.105724,push,6.13,53.35
1783135338.1259236,push,3.78,54.17
1783135338.1461222,push,2.24,54.6
1783135338.166368,push,2.98,55.74
1783135338.186701,push,0.25,55.66
