timestamp,phase,cpu_percent,mem_mb
1783125128.2596285,pull,0.0,46.39
1783125128.279841,pull,6.16,46.39
1783125128.3000805,pull,5.71,46.32
1783125128.3203495,pull,6.09,46.43
1783125128.340732,pull,6.11,46.43
1783125128.3610027,pull,6.81,49.9
1783125128.381494,commit,1.26,48.88
1783125128.40187,commit,0.0,48.88
1783125128.4222066,push,2.44,48.88
1783125128.4424906,push,6.45,48.88
1783125128.462852,push,5.47,49.01
1783125128.4831595,push,6.13,49.01
1783125128.503407,push,6.39,49.01
1783125128.5239837,push,5.78,49.27
1783125128.5443263,push,6.12,49.26
1783125128.5646207,push,4.45,49.11
1783125128.5850425,push,5.63,49.11
1783125128.605312,push,6.14,49.11
1783125128.6255207,push,3.37,48.95
1783125128.6458623,push,6.12,48.95
1783125128.6661084,push,5.78,49.18
1783125128.686403,push,3.96,48.85
1783125128.7068703,push,6.06,48.85
1783125128.727138,push,7.81,51.5
1783125128.7474968,push,22.7,53.02
1783125128.767827,push,3.51,52.89
