timestamp,phase,cpu_percent,mem_mb
1783133420.6028821,clone,0.0,3.83
1783133420.6231153,clone,0.0,3.32
1783133420.6434565,clone,0.24,3.02
1783133420.663739,clone,0.0,3.02
1783133420.6842296,clone,0.25,3.21
1783133420.7050092,clone,1.11,3.48
1783133420.7254047,clone,0.0,3.48
1783133420.745795,clone,0.22,3.17
1783133420.766006,add,0.0,2.8
1783133420.7863028,commit,0.0,2.4
1783133420.8066587,commit,0.0,2.29
1783133420.826844,push,0.62,3.48
1783133420.8470337,push,0.0,3.01
1783133420.8673449,push,2.14,3.84
