timestamp,phase,cpu_percent,mem_mb
1783125082.4915218,pull,22.96,48.63
1783125082.5118551,pull,6.11,48.14
1783125082.5323544,pull,6.37,47.84
1783125082.5528984,pull,6.07,47.84
1783125082.573485,pull,5.83,48.56
1783125082.593913,pull,5.64,48.47
1783125082.6143816,pull,6.38,48.47
1783125082.6348267,pull,6.04,48.47
1783125082.6552885,pull,6.08,48.47
1783125082.6756575,pull,5.57,48.45
1783125082.6962936,pull,7.18,48.52
1783125082.7168384,pull,5.07,48.44
1783125082.7373483,pull,0.0,48.37
1783125082.7577875,commit,0.0,48.34
1783125082.7786527,commit,0.0,48.34
1783125082.7992113,push,1.49,48.34
1783125082.8197284,push,6.34,48.34
1783125082.8400168,push,6.13,48.34
1783125082.8603144,push,6.14,48.34
1783125082.8807878,push,6.3,48.78
1783125082.9011605,push,5.25,48.67
1783125082.9216893,push,6.35,48.67
1783125082.9419975,push,6.09,48.67
1783125082.9625292,push,6.36,48.66
1783125082.982924,push,5.52,48.87
1783125083.003498,push,6.34,48.87
1783125083.0238907,push,6.07,48.54
1783125083.0441842,push,6.11,48.27
1783125083.064607,push,6.37,48.24
1783125083.085116,push,4.87,48.59
1783125083.1058273,push,5.5,48.27
1783125083.1261938,push,6.11,48.27
1783125083.146731,push,6.34,48.04
1783125083.1672158,push,6.07,48.04
1783125083.1878114,push,3.67,48.23
1783125083.208294,push,5.04,48.63
1783125083.2288544,push,6.04,48.63
1783125083.249207,push,6.1,48.61
1783125083.270493,push,6.41,48.59
1783125083.2909558,push,4.13,48.86
1783125083.3115146,push,4.4,48.93
1783125083.3320456,push,6.06,48.93
1783125083.3523605,push,6.4,48.93
1783125083.3728306,push,6.07,48.86
1783125083.3932137,push,5.57,48.77
1783125083.413642,push,3.14,48.83
1783125083.434047,push,2.75,48.62
1783125083.454556,push,2.82,49.34
